name,arch,n_keys,n_experts,expert_dim,n_heads,top_k,lambda_aux,router_split,unif_mode,activation,seed,task,n_params,grok_step,final_train_acc,final_test_acc,final_train_loss,final_test_loss,wall_time_s,dead_frac_1,dead_frac_2,route_entropy_1,route_entropy_2,comp_rank
moe_tucker_n16_m8_h4_k4_lam0.001_natural_single_f0.8_wd1_rk1_s0,moe_tucker,16,256,8,4,4,0.001,natural,token,relu,0,single,26880,-1,0.23073910915320606,0.004698512137823023,2.6723761395619188,4.373667072484339,154.2661874294281,0.0,0.0,1.367703969228967,1.3382110084846182,1
moe_tucker_n32_m8_h4_k4_lam0.001_natural_single_f0.8_wd1_rk1_s0,moe_tucker,32,1024,8,4,4,0.001,natural,token,relu,0,single,42912,-1,0.21918746940773373,0.007047768206734534,2.6676631619401614,4.480331098277213,163.20647048950195,0.0,0.0,1.3506107846780713,1.372514877689782,1
moe_tucker_n64_m8_h4_k4_lam0.001_natural_single_f0.8_wd1_rk1_s0,moe_tucker,64,4096,8,4,4,0.001,natural,token,relu,0,single,73888,-1,0.3648556045031816,0.03445575567736883,1.9647333788393295,3.930882393426977,238.6918487548828,0.0,0.0,1.37560656853239,1.3751585739633005,1
moe_tucker_n16_m8_h4_k4_lam0.001_natural_single_f0.8_wd1_rk1_s0,moe_tucker,16,256,8,4,4,0.001,natural,token,relu,0,single,42720,700,1.0,1.0,3.245625785327226e-05,3.955665517805513e-05,242.56500506401062,0.0,0.0,1.3547753776769424,1.3337433718507241,16
moe_tucker_n32_m8_h4_k4_lam0.001_natural_single_f0.8_wd1_rk1_s0,moe_tucker,32,1024,8,4,4,0.001,natural,token,relu,0,single,59232,500,1.0,1.0,7.395500821397402e-07,8.245196759397384e-07,274.29845929145813,0.0,0.0,1.3193299636012545,1.3174491293494373,16
moe_tucker_n64_m8_h4_k4_lam0.001_natural_single_f0.8_wd1_rk1_s0,moe_tucker,64,4096,8,4,4,0.001,natural,token,relu,0,single,90208,500,1.0,1.0,6.914090814649679e-07,8.886007952358728e-07,353.6109402179718,0.0,0.0,1.3438406253684443,1.3540376424789429,16
moe_tucker_n16_m8_h4_k4_lam0.001_natural_single_f0.8_wd1_rk1_s0,moe_tucker,16,256,8,4,4,0.001,natural,token,relu,0,single,27936,-1,0.5275575134605972,0.01644479248238058,1.517564167278512,3.1503424468970245,154.66454482078552,0.0,0.0,1.3783967279586864,1.3801035810183486,2
moe_tucker_n32_m8_h4_k4_lam0.001_natural_single_f0.8_wd1_rk1_s0,moe_tucker,32,1024,8,4,4,0.001,natural,token,relu,0,single,44000,-1,0.5548702887909936,0.029365700861393892,1.3047869965660182,2.5363941595903485,172.03907465934753,0.0,0.0,1.3696717868462567,1.368706397269362,2
moe_tucker_n64_m8_h4_k4_lam0.001_natural_single_f0.8_wd1_rk1_s0,moe_tucker,64,4096,8,4,4,0.001,natural,token,relu,0,single,74976,-1,0.40509055310817427,0.02466718872357087,1.5753770735820485,3.4370029243343776,256.5922133922577,0.0,0.0,1.341173504576891,1.3690406016002425,2
moe_tucker_n16_m8_h4_k4_lam0.001_natural_single_f0.8_wd1_rk1_s0,moe_tucker,16,256,8,4,4,0.001,natural,token,relu,0,single,59616,600,1.0,1.0,5.862831784940151e-06,6.411339104548972e-06,360.1016128063202,0.0,0.0,1.288031932872411,1.3134931466976958,32
moe_tucker_n32_m8_h4_k4_lam0.001_natural_single_f0.8_wd1_rk1_s0,moe_tucker,32,1024,8,4,4,0.001,natural,token,relu,0,single,76640,500,1.0,1.0,8.761653028395732e-07,8.640943216152647e-07,390.44965863227844,0.0,0.0,1.308734235790437,1.3260339909670114,32
moe_tucker_n64_m8_h4_k4_lam0.001_natural_single_f0.8_wd1_rk1_s0,moe_tucker,64,4096,8,4,4,0.001,natural,token,relu,0,single,107616,500,1.0,1.0,5.097308230772797e-07,5.752688197939771e-07,469.6165142059326,0.0,0.0,1.3462715319398146,1.3432420222740016,32
moe_tucker_n16_m8_h4_k4_lam0.001_natural_single_f0.8_wd1_rk1_s0,moe_tucker,16,256,8,4,4,0.001,natural,token,relu,0,single,30048,-1,0.9975526186979932,0.6707126076742365,0.08840539813683539,1.0877476201546594,157.7486207485199,0.0,0.0,1.367281439076744,1.3622133543818304,4
moe_tucker_n32_m8_h4_k4_lam0.001_natural_single_f0.8_wd1_rk1_s0,moe_tucker,32,1024,8,4,4,0.001,natural,token,relu,0,single,46176,-1,0.9365638766519824,0.4753328112764291,0.36873048548014564,1.2670365037074198,185.23978471755981,0.0,0.0,1.3674507207491076,1.369760535338237,4
moe_tucker_n64_m8_h4_k4_lam0.001_natural_single_f0.8_wd1_rk1_s0,moe_tucker,64,4096,8,4,4,0.001,natural,token,relu,0,single,77152,1200,1.0,1.0,0.0033562665352095474,0.011606599543369086,266.57153820991516,0.0,0.0,1.3785972900683396,1.3647441940474168,4
moe_tucker_n16_m8_h4_k4_lam0.001_natural_single_f0.8_wd1_rk1_s0,moe_tucker,16,256,8,4,4,0.001,natural,token,relu,0,single,34272,800,0.9999021047479197,1.0,0.016307497701397493,0.021338736908269658,181.83926606178284,0.0,0.0,1.3703884082016402,1.3710437827853796,8
moe_tucker_n32_m8_h4_k4_lam0.001_natural_single_f0.8_wd1_rk1_s0,moe_tucker,32,1024,8,4,4,0.001,natural,token,relu,0,single,50528,900,0.9996084189916788,0.9992169146436961,0.00800731040891105,0.016704875972930026,213.15943884849548,0.0,0.0,1.378741594047645,1.369103982842737,8
moe_tucker_n64_m8_h4_k4_lam0.001_natural_single_f0.8_wd1_rk1_s0,moe_tucker,64,4096,8,4,4,0.001,natural,token,relu,0,single,81504,800,1.0,1.0,2.937806233202075e-07,3.402635251655416e-07,295.81248354911804,0.0,0.0,1.3432999236608543,1.344206598522202,8
