name,arch,n_keys,n_experts,expert_dim,n_heads,top_k,lambda_aux,router_split,unif_mode,activation,seed,task,n_params,grok_step,final_train_acc,final_test_acc,final_train_loss,final_test_loss,wall_time_s,subdir,tt_rank,tucker_rank,dead_frac_1,dead_frac_2,route_entropy_1,route_entropy_2
mlp_n16_m8_h4_k4_lam0.001_natural_single_f0.8_wd1_rk1_s0,mlp,16,256,8,4,4,0.001,natural,token,relu,0,single,34113,1600,1.0,0.995301487862177,0.00027199473616776955,0.025987793900766873,50.18336725234985,runs,16,32,,,,
mlp_n16_m8_h4_k4_lam0.001_natural_single_f0.8_wd1_rk1_s1,mlp,16,256,8,4,4,0.001,natural,token,relu,1,single,34113,1700,1.0,0.9968676585747847,0.00029799335445193057,0.02610444537157553,48.92170858383179,runs,16,32,,,,
mlp_n16_m8_h4_k4_lam0.001_natural_single_f0.8_wd1_rk1_s2,mlp,16,256,8,4,4,0.001,natural,token,relu,2,single,34113,1700,1.0,0.9960845732184808,0.00028179029711192574,0.026850348631665404,53.26954126358032,runs,16,32,,,,
moe_cp_n16_m8_h4_k4_lam0.001_natural_single_f0.8_wd1_rk1_s0,moe_cp,16,256,8,4,4,0.001,natural,token,relu,0,single,61952,2100,1.0,1.0,2.4523315800794246e-05,0.00022197425505474571,686.9826498031616,runs,16,32,0.0,0.0,1.31652771608786,1.3156622582328135
moe_cp_n16_m8_h4_k4_lam0.001_natural_single_f0.8_wd1_rk1_s1,moe_cp,16,256,8,4,4,0.001,natural,token,relu,1,single,61952,2600,1.0,1.0,2.527656603460503e-05,0.0001246591237903855,684.918114900589,runs,16,32,0.0,0.0,1.30494354351712,1.313650767612181
moe_cp_n16_m8_h4_k4_lam0.001_natural_single_f0.8_wd1_rk1_s2,moe_cp,16,256,8,4,4,0.001,natural,token,relu,2,single,61952,2100,1.0,1.0,2.7395347958385972e-05,0.00036399314995379586,684.9714021682739,runs,16,32,0.0,0.0,1.312564222662719,1.3238879880065673
moe_cp_n32_m8_h4_k4_lam0.001_natural_single_f0.8_wd1_rk1_s0,moe_cp,32,1024,8,4,4,0.001,natural,token,relu,0,single,80512,2100,1.0,1.0,1.2233547731409805e-05,7.585430271287588e-05,675.6700582504272,runs,16,32,0.0,0.0,1.3166443427210828,1.319809802072014
moe_cp_n32_m8_h4_k4_lam0.001_natural_single_f0.8_wd1_rk1_s1,moe_cp,32,1024,8,4,4,0.001,natural,token,relu,1,single,80512,2000,1.0,1.0,1.1800383630186334e-05,5.7322853416227793e-05,675.2426223754883,runs,16,32,0.0,0.0,1.324666094318778,1.3162239912075504
moe_cp_n32_m8_h4_k4_lam0.001_natural_single_f0.8_wd1_rk1_s2,moe_cp,32,1024,8,4,4,0.001,natural,token,relu,2,single,80512,2100,1.0,1.0,1.1285564557221142e-05,4.2171435563379465e-05,678.7152371406555,runs,16,32,0.0,0.0,1.3198417021847526,1.3203449151054583
moe_cp_n4_m8_h4_k4_lam0.001_natural_single_f0.8_wd1_rk1_s0,moe_cp,4,16,8,4,4,0.001,natural,token,relu,0,single,48032,7900,1.0,0.9541895066562255,5.118004828180919e-05,0.13814176053112154,604.5768821239471,runs,16,32,0.0,0.0,1.196098421648587,1.1702980548271755
