name,arch,n_keys,n_experts,expert_dim,n_heads,top_k,lambda_aux,router_split,unif_mode,activation,seed,task,n_params,grok_step,final_train_acc,final_test_acc,final_train_loss,final_test_loss,wall_time_s,dead_frac_1,dead_frac_2,route_entropy_1,route_entropy_2,subdir,tt_rank,tucker_rank
moe_tt_n16_m8_h4_k4_lam0.001_natural_single_f0.8_wd1_rk1_s0,moe_tt,16,256,8,4,4,0.001,natural,token,relu,0,single,78480,2100,1.0,1.0,2.1744565787527764e-05,0.00016838972607719405,227.0343418121338,0.0,0.0,1.3607409839034874,1.291582543266082,tt_r16,16,32
moe_tt_n32_m8_h4_k4_lam0.001_natural_single_f0.8_wd1_rk1_s0,moe_tt,32,1024,8,4,4,0.001,natural,token,relu,0,single,97296,2000,1.0,1.0,1.777351546232104e-06,6.421566149548058e-06,252.80320286750793,0.0,0.0,1.3253043680876664,1.308804201756753,tt_r16,16,32
moe_tt_n64_m8_h4_k4_lam0.001_natural_single_f0.8_wd1_rk1_s0,moe_tt,64,4096,8,4,4,0.001,natural,token,relu,0,single,134928,4700,1.0,1.0,1.3887956537893457e-06,3.4961149318197694e-06,344.7472105026245,0.0,0.09375,1.3512153123873814,1.3498171453552879,tt_r16,16,32
moe_tt_n16_m8_h4_k4_lam0.001_natural_single_f0.8_wd1_rk1_s0,moe_tt,16,256,8,4,4,0.001,natural,token,relu,0,single,266400,-1,1.0,0.8660924040720438,1.13661000272601e-06,0.48172228879637335,553.211706161499,0.0,0.0,1.3000911305809424,1.2702489919451112,tt_r32,32,32
moe_tt_n32_m8_h4_k4_lam0.001_natural_single_f0.8_wd1_rk1_s0,moe_tt,32,1024,8,4,4,0.001,natural,token,relu,0,single,297760,5600,1.0,1.0,6.052415145126208e-07,1.6353513896698677e-05,603.5691695213318,0.0,0.03125,1.3281948751659753,1.31202843281851,tt_r32,32,32
moe_tt_n64_m8_h4_k4_lam0.001_natural_single_f0.8_wd1_rk1_s0,moe_tt,64,4096,8,4,4,0.001,natural,token,relu,0,single,360480,7100,1.0,1.0,1.026955704426742e-06,1.5598128877212595e-05,712.3186242580414,0.0,0.203125,1.3567437040132704,1.3490962318399797,tt_r32,32,32
moe_tt_n16_m8_h4_k4_lam0.001_natural_single_f0.8_wd1_rk1_s0,moe_tt,16,256,8,4,4,0.001,natural,token,relu,0,single,1013952,-1,1.0,0.02153484729835552,3.385289635543898e-06,11.016183254209084,1965.040904045105,0.0,0.0,1.3334464066851455,1.2841364915672115,tt_r64,64,32
moe_tt_n32_m8_h4_k4_lam0.001_natural_single_f0.8_wd1_rk1_s0,moe_tt,32,1024,8,4,4,0.001,natural,token,relu,0,single,1094976,-1,1.0,0.18676585747846516,9.033498019198839e-07,4.687685829825764,2118.991917848587,0.0,0.0625,1.341000326369324,1.3205902992544742,tt_r64,64,32
moe_tt_n64_m8_h4_k4_lam0.001_natural_single_f0.8_wd1_rk1_s0,moe_tt,64,4096,8,4,4,0.001,natural,token,relu,0,single,1257024,16300,1.0,0.9980422866092404,2.1195466750052065e-06,0.009353949861220298,1976.530115365982,0.0,0.1875,1.3578492194001028,1.3512785775014122,tt_r64,64,32
moe_tt_n16_m8_h4_k4_lam0.001_natural_single_f0.8_wd1_rk1_s0,moe_tt,16,256,8,4,4,0.001,natural,token,relu,0,single,30984,1400,0.9995105237395986,0.9964761158966328,0.06912509285230818,0.08249299266698683,161.0889139175415,0.0,0.0,1.3655437995202018,1.3106092200580597,tt_r8,8,32
moe_tt_n32_m8_h4_k4_lam0.001_natural_single_f0.8_wd1_rk1_s0,moe_tt,32,1024,8,4,4,0.001,natural,token,relu,0,single,46600,2800,1.0,1.0,0.0006459760362472945,0.0008810998502894128,184.38263297080994,0.0,0.0,1.3155719955615965,1.35422100923907,tt_r8,8,32
moe_tt_n64_m8_h4_k4_lam0.001_natural_single_f0.8_wd1_rk1_s0,moe_tt,64,4096,8,4,4,0.001,natural,token,relu,0,single,77832,4300,1.0,1.0,0.00019935644320629415,0.00024944987255983645,271.78779673576355,0.0,0.0,1.3667803255148097,1.3485432692016242,tt_r8,8,32
moe_tucker_n16_m8_h4_k4_lam0.001_natural_single_f0.8_wd1_rk1_s0,moe_tucker,16,256,8,4,4,0.001,natural,token,relu,0,single,16204,-1,0.43210964268232993,0.3014878621769773,1.8594968910609397,1.911897926659162,168.7283375263214,0.0,0.0,1.3599462806688365,1.2421280910436825,tucker_r4,16,4
moe_tucker_n32_m8_h4_k4_lam0.001_natural_single_f0.8_wd1_rk1_s0,moe_tucker,32,1024,8,4,4,0.001,natural,token,relu,0,single,30796,1800,1.0,1.0,0.10518967324591594,0.10872216997617096,177.14593768119812,0.0,0.0,1.3541017785051042,1.357864544277548,tucker_r4,16,4
moe_tucker_n64_m8_h4_k4_lam0.001_natural_single_f0.8_wd1_rk1_s0,moe_tucker,64,4096,8,4,4,0.001,natural,token,relu,0,single,59980,2400,0.9973568281938326,0.9960845732184808,0.20426764504558248,0.21260999232974012,256.0819628238678,0.0,0.0,1.342395315594882,1.3486169906386625,tucker_r4,16,4
